order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,5099,2024-03-25,221,4,1196.05,4784.20,Pending,
2,5078,2024-09-21,18,8,473.37,3786.96,Completed,2024-09-23
3,9900,2024-01-30,236,6,1950.20,11701.20,Pending,
4,3977,2024-06-18,288,1,1588.32,1588.32,Cancelled,
5,2124,2023-01-12,436,7,468.92,3282.44,Pending,
6,7218,2023-05-15,428,1,1281.51,1281.51,Completed,2023-05-18
7,4604,2025-10-07,218,4,246.68,986.72,Cancelled,
8,6141,2025-08-21,100,9,1324.98,11924.82,Cancelled,
9,8329,2023-01-09,444,7,1831.96,12823.72,Completed,2023-01-12
10,9733,2024-02-19,220,8,853.81,6830.48,Pending,
11,8276,2025-02-23,27,1,767.15,767.15,Pending,
12,3316,2023-12-22,100,2,1324.98,2649.96,Pending,
13,1177,2025-06-07,369,4,199.18,796.72,Cancelled,
14,2507,2024-03-01,407,3,265.89,797.67,Pending,
15,8854,2023-12-20,283,3,1713.30,5139.90,Completed,2023-12-22
16,7223,2025-01-10,18,1,473.37,473.37,Pending,
17,854,2023-11-12,268,6,1312.73,7876.38,Pending,
18,8074,2025-12-21,328,8,476.55,3812.40,Pending,
19,3869,2023-04-07,181,3,548.29,1644.87,Completed,2023-04-10
20,1321,2024-05-24,212,7,1030.78,7215.46,Cancelled,
21,9224,2025-10-14,398,6,1135.22,6811.32,Pending,
22,4921,2025-04-14,88,8,1198.23,9585.84,Pending,
23,6296,2024-01-21,354,6,1619.75,9718.50,Pending,
24,4328,2025-11-25,358,7,1902.28,13315.96,Completed,2025-11-28
25,4729,2023-03-26,129,8,1890.15,15121.20,Cancelled,
26,5888,2023-03-24,221,2,1196.05,2392.10,Pending,
27,6877,2023-06-19,434,9,367.15,3304.35,Cancelled,
28,1118,2025-11-11,382,10,393.26,3932.60,Pending,
29,2430,2024-08-22,229,10,1720.05,17200.50,Completed,2024-08-24
30,7407,2024-05-11,364,1,76.95,76.95,Completed,2024-05-14
31,7095,2024-12-30,17,5,791.86,3959.30,Cancelled,
32,9315,2024-05-22,389,10,795.97,7959.70,Cancelled,
33,7817,2025-08-02,459,7,619.37,4335.59,Cancelled,
34,5023,2024-12-03,471,6,1287.24,7723.44,Completed,2024-12-04
35,5265,2024-12-24,381,2,1282.35,2564.70,Pending,
36,196,2025-01-03,303,2,435.30,870.60,Cancelled,
37,2838,2024-03-04,460,3,1238.73,3716.19,Completed,2024-03-05
38,6477,2025-01-04,169,5,1450.78,7253.90,Pending,
39,4437,2023-08-06,131,5,250.67,1253.35,Completed,2023-08-09
40,4956,2025-01-13,412,8,519.28,4154.24,Pending,
41,9858,2024-11-24,25,3,1002.26,3006.78,Completed,2024-11-27
42,1777,2023-02-10,435,9,36.24,326.16,Cancelled,
43,6960,2024-06-25,368,2,161.68,323.36,Pending,
44,476,2024-02-18,355,2,359.74,719.48,Pending,
45,3055,2023-03-10,185,4,1157.44,4629.76,Cancelled,
46,9949,2025-08-09,333,2,1027.51,2055.02,Completed,2025-08-10
47,5191,2025-03-09,421,5,1590.37,7951.85,Completed,2025-03-10
48,3216,2023-04-20,176,6,709.30,4255.80,Completed,2023-04-21
49,1082,2025-06-13,362,6,171.33,1027.98,Cancelled,
50,9007,2025-01-07,334,3,534.35,1603.05,Pending,
51,2664,2024-06-04,9,9,45.22,406.98,Pending,
52,4595,2023-07-27,152,9,1495.89,13463.01,Cancelled,
53,5106,2023-03-29,260,9,375.84,3382.56,Cancelled,
54,4789,2024-08-17,495,2,205.94,411.88,Pending,
55,6071,2023-10-28,368,4,161.68,646.72,Pending,
56,9156,2023-12-03,454,5,924.29,4621.45,Cancelled,
57,6814,2025-07-06,309,4,52.42,209.68,Cancelled,
58,6397,2025-09-02,103,6,1467.13,8802.78,Cancelled,
59,6952,2025-06-07,406,8,960.05,7680.40,Pending,
60,7172,2023-04-25,367,9,1279.84,11518.56,Pending,
61,6785,2024-03-06,248,4,1740.47,6961.88,Cancelled,
62,1819,2025-09-27,11,9,1535.47,13819.23,Pending,
63,7548,2023-07-07,258,7,24.36,170.52,Pending,
64,5185,2024-09-06,57,5,1448.85,7244.25,Cancelled,
65,4548,2024-03-05,383,10,1235.43,12354.30,Pending,
66,1792,2023-05-12,385,9,1176.53,10588.77,Cancelled,
67,257,2024-09-06,112,10,278.79,2787.90,Cancelled,
