product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Synthetic Product 0001,Home,14.73,5.86,735,25
2,Synthetic Product 0002,Accessories,379.00,389.00,158,53
3,Synthetic Product 0003,Electronics,1365.56,1120.19,28,51
4,Synthetic Product 0004,Accessories,991.61,147.80,183,9
5,Synthetic Product 0005,Accessories,1726.24,760.14,243,29
6,Synthetic Product 0006,Home,1508.43,512.33,583,49
7,Synthetic Product 0007,Home,27.21,21.00,401,13
8,Synthetic Product 0008,Home,236.22,170.00,575,63
9,Synthetic Product 0009,Accessories,45.22,29.18,734,53
10,Synthetic Product 0010,Electronics,962.35,111.59,781,81
11,Synthetic Product 0011,Accessories,1535.47,338.94,346,66
12,Synthetic Product 0012,Office,69.81,55.80,792,51
13,Synthetic Product 0013,Home,1408.60,815.28,225,19
14,Synthetic Product 0014,Sports,998.16,574.50,953,77
15,Synthetic Product 0015,Accessories,291.06,64.73,566,5
16,Synthetic Product 0016,Office,475.63,334.64,251,19
17,Synthetic Product 0017,Electronics,791.86,547.96,696,76
18,Synthetic Product 0018,Accessories,473.37,98.03,732,27
19,Synthetic Product 0019,Accessories,1518.26,958.59,986,17
20,Synthetic Product 0020,Office,1137.66,912.79,780,29
21,Synthetic Product 0021,Sports,561.56,299.06,612,80
22,Synthetic Product 0022,Sports,507.85,426.04,427,96
23,Synthetic Product 0023,Electronics,844.27,68.11,363,53
24,Synthetic Product 0024,Accessories,886.06,237.35,26,94
25,Synthetic Product 0025,Sports,1002.26,960.47,733,96
26,Synthetic Product 0026,Office,1016.74,79.43,105,37
27,Synthetic Product 0027,Office,767.15,109.97,993,89
28,Synthetic Product 0028,Sports,263.08,225.24,175,10
29,Synthetic Product 0029,Accessories,584.14,138.79,644,89
30,Synthetic Product 0030,Accessories,1673.29,421.56,195,70
31,Synthetic Product 0031,Electronics,1864.57,1407.29,949,56
32,Synthetic Product 0032,Sports,1981.62,613.35,373,75
33,Synthetic Product 0033,Accessories,1264.02,771.72,967,9
34,Synthetic Product 0034,Home,1689.25,248.80,896,26
35,Synthetic Product 0035,Home,791.28,587.58,255,14
36,Synthetic Product 0036,Sports,1352.26,896.60,969,93
37,Synthetic Product 0037,Electronics,1669.86,937.70,310,7
38,Synthetic Product 0038,Electronics,1512.23,375.92,752,97
39,Synthetic Product 0039,Office,788.23,675.52,397,79
40,Synthetic Product 0040,Sports,733.85,315.28,674,92
41,Synthetic Product 0041,Home,18.47,15.97,98,12
42,Synthetic Product 0042,Home,551.98,13.61,725,38
43,Synthetic Product 0043,Home,1037.83,626.32,913,37
44,Synthetic Product 0044,Office,1987.65,641.31,953,19
45,Synthetic Product 0045,Office,1505.85,287.53,377,62
46,Synthetic Product 0046,Electronics,1870.09,58.98,537,21
47,Synthetic Product 0047,Home,1577.81,314.36,831,15
48,Synthetic Product 0048,Sports,32.27,24.72,393,88
49,Synthetic Product 0049,Electronics,1814.56,1480.12,26,79
50,Synthetic Product 0050,Home,1827.95,1726.40,853,37
51,Synthetic Product 0051,Home,945.60,849.40,227,30
52,Synthetic Product 0052,Electronics,1539.18,1375.00,862,80
53,Synthetic Product 0053,Electronics,1308.08,976.23,309,5
54,Synthetic Product 0054,Sports,939.47,844.54,396,77
55,Synthetic Product 0055,Sports,646.41,364.14,278,29
56,Synthetic Product 0056,Accessories,540.71,86.12,403,72
57,Synthetic Product 0057,Sports,1448.85,90.15,831,21
58,Synthetic Product 0058,Electronics,332.16,212.78,919,94
59,Synthetic Product 0059,Electronics,553.73,333.78,942,12
60,Synthetic Product 0060,Sports,1057.20,80.19,749,86
61,Synthetic Product 0061,Office,967.23,771.45,280,34
62,Synthetic Product 0062,Office,1593.31,348.83,996,42
63,Synthetic Product 0063,Sports,1758.07,1540.81,424,63
64,Synthetic Product 0064,Accessories,1592.29,1098.52,646,36
65,Synthetic Product 0065,Accessories,1055.23,654.47,700,85
66,Synthetic Product 0066,Accessories,41.39,4.06,512,8
67,Synthetic Product 0067,Home,1926.16,92.58,18,88
68,Synthetic Product 0068,Accessories,508.35,142.43,51,9
69,Synthetic Product 0069,Sports,777.64,532.17,959,100
70,Synthetic Product 0070,Sports,1491.58,1004.21,465,78
71,Synthetic Product 0071,Sports,1882.38,1892.38,129,50
72,Synthetic Product 0072,Accessories,1776.47,1739.89,649,61
73,Synthetic Product 0073,Home,552.13,321.43,972,34
74,Synthetic Product 0074,Accessories,1105.48,58.82,890,91
75,Synthetic Product 0075,Home,696.75,211.69,837,66
76,Synthetic Product 0076,Accessories,1014.14,538.85,512,31
77,Synthetic Product 0077,Accessories,336.27,63.66,89,8
78,Synthetic Product 0078,Home,1384.49,626.39,948,32
79,Synthetic Product 0079,Electronics,641.21,590.22,419,71
80,Synthetic Product 0080,Office,1185.12,505.14,339,29
81,Synthetic Product 0081,Sports,45.70,44.27,330,18
82,Synthetic Product 0082,Accessories,1139.99,638.08,53,65
83,Synthetic Product 0083,Accessories,403.34,116.04,76,20
84,Synthetic Product 0084,Electronics,1387.75,230.53,474,47
85,Synthetic Product 0085,Office,505.47,249.10,697,73
86,Synthetic Product 0086,Accessories,1674.35,139.85,379,16
87,Synthetic Product 0087,Home,593.41,313.72,906,72
88,Synthetic Product 0088,Home,1198.23,56.69,610,50
89,Synthetic Product 0089,Electronics,1339.32,292.61,790,65
90,Synthetic Product 0090,Electronics,460.61,2.45,2,92
